Service,Asia Pacific (Malaysia) - ap-southeast-5,Africa (Cape Town) - af-south-1,Asia Pacific (Hong Kong) - ap-east-1,Asia Pacific (Tokyo) - ap-northeast-1,Asia Pacific (Seoul) - ap-northeast-2,Asia Pacific (Osaka) - ap-northeast-3,Asia Pacific (Mumbai) - ap-south-1,Asia Pacific (Hyderabad) - ap-south-2,Asia Pacific (Singapore) - ap-southeast-1,Asia Pacific (Sydney) - ap-southeast-2,Asia Pacific (Jakarta) - ap-southeast-3,Asia Pacific (Melbourne) - ap-southeast-4,Canada (Central) - ca-central-1,Canada West (Calgary) - ca-west-1,China (Beijing) - cn-north-1,China (Ningxia) - cn-northwest-1,Europe (Frankfurt) - eu-central-1,Europe (Zurich) - eu-central-2,Europe (Stockholm) - eu-north-1,Europe (Milan) - eu-south-1,Europe (Spain) - eu-south-2,Europe (Ireland) - eu-west-1,Europe (London) - eu-west-2,Europe (Paris) - eu-west-3,Israel (Tel Aviv) - il-central-1,Middle East (UAE) - me-central-1,Middle East (Bahrain) - me-south-1,South America (SÃ£o Paulo) - sa-east-1,US East (N. Virginia) - us-east-1,US East (Ohio) - us-east-2,US West (N. California) - us-west-1,US West (Oregon) - us-west-2
keyspaces,False,False,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True
kinesis,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
kinesis-video-archived-media,False,True,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,False,True
kinesis-video-media,False,True,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,False,True
kinesis-video-signaling,False,True,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,False,True
kinesis-video-webrtc-storage,False,True,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,False,True
kinesisanalytics,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
kinesisanalyticsv2,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
kinesisvideo,False,True,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,False,True
kms,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
l,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
lakeformation,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
lambda,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
lex-models,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
lex-runtime,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
lexv2-models,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
lexv2-runtime,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
license-manager,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
license-manager-linux-subscriptions,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
license-manager-user-subscriptions,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
lightsail,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,True,True,False,True
location,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,True,False,True
logs,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
lookoutequipment,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
lookoutmetrics,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,True
lookoutvision,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True
m2,False,True,False,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True
machinelearning,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
macie2,False,True,True,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True
managedblockchain,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
managedblockchain-query,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
marketplace-agreement,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
marketplace-catalog,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
marketplace-entitlement,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
marketplacecommerceanalytics,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
mediaconnect,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,True,True,True,True,True
mediaconvert,False,True,False,True,True,True,True,False,True,True,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,True,True,True,True,True
medialive,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,True,True,True,False,True
mediapackage,False,False,False,True,True,True,True,False,True,True,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True
mediapackage-vod,False,False,False,True,True,True,True,False,True,True,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True
mediapackagev2,False,False,False,True,True,True,True,False,True,True,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True
mediastore,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True
mediastore-data,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True
mediatailor,False,True,False,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,True,True,False,True
memorydb,False,False,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,False,True,True,True,True,True
meteringmarketplace,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
mgh,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
mgn,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
migrationhuborchestrator,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
migrationhubstrategy,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
mq,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
mturk,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
mwaa,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
n,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
neptune,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
network-firewall,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
nimble,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,True,False,True
oam,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
omics,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True
opensearch,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
opensearchserverless,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,False,True
opsworks,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True
opsworkscm,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True
osis,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,True,True,True
outposts,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True
personalize,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True
pi,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pinpoint,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True
pinpoint-email,False,True,False,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True
pinpoint-sms-voice-v2,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pipes,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
polly,False,True,True,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True
pricing,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
privatenetworks,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
proton,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True
qbusiness,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
qconnect,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
qldb,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True
qldb-session,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True
quicksight,False,True,False,True,True,False,True,False,True,True,True,False,True,False,False,False,True,True,True,True,False,True,True,True,False,False,False,True,True,True,False,True
r,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ram,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
rbin,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
rds,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
rds-data,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True
redshift,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
redshift-serverless,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True
rekognition,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True
resiliencehub,False,True,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True
resource-explorer-2,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
resource-groups,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
resourcegroupstaggingapi,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
robomaker,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True
rolesanywhere,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
route53domains,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
route53resolver,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
rum,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
s,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
s3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
s3control,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
s3outposts,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True
sagemaker,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sagemaker-edge,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True
sagemaker-geospatial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
sagemaker-metrics,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sagemaker-runtime,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
scheduler,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
schemas,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
sdb,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True
secretsmanager,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
securityhub,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
securitylake,False,False,False,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True
serverlessrepo,False,False,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True
service-quotas,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
servicecatalog,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
servicecatalog-appregistry,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
servicediscovery,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ses,False,True,False,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True
sesv2,False,True,False,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True
signer,False,True,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True
simspaceweaver,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,True
sms,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
snowball,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True
sns,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sqs,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ssm,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ssm-contacts,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True
ssm-incidents,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True
ssm-sap,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True
sso,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sso-admin,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sso-oidc,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
stepfunctions,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
storagegateway,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sts,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
support-app,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
swf,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
synthetics,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
textract,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,True,True,True
timestream-write,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True
tnb,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True
transcribe,False,True,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True
transfer,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
translate,False,False,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True
verifiedpermissions,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
voice-id,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
vpc-lattice,False,True,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,True,True,False,False,False,True,True,True,True,True
waf-regional,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
wafv2,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
wellarchitected,False,False,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True
wisdom,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
workdocs,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
workmail,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
workspaces,False,True,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,False,True
workspaces-thin-client,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
workspaces-web,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
xray,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
y,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
z,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
